date	deepSleepTime	shallowSleepTime	wakeTime	start	stop
2022-03-06	399	0	0	2022-03-06 01:00:00	2022-03-06 07:39:23
2022-03-05	355	0	0	2022-03-05 01:13:41	2022-03-05 07:09:26
2022-03-04	214	0	0	2022-03-04 03:59:56	2022-03-04 07:34:21
2022-03-03	23	0	0	2022-03-03 06:17:54	2022-03-03 06:41:26
2022-03-03	272	0	0	2022-03-03 01:45:04	2022-03-03 06:17:22
2022-03-02	351	0	0	2022-03-02 03:22:29	2022-03-02 09:13:32
2022-03-01	263	0	0	2022-03-01 01:37:13	2022-03-01 06:00:20
2022-02-28	376	0	0	2022-02-28 01:44:11	2022-02-28 08:00:22
2022-02-27	269	0	0	2022-02-27 01:33:11	2022-02-27 06:02:41
2022-02-26	0	0	0	2022-02-26 12:20:00	2022-02-26 12:20:00
2022-02-26	0	0	0	2022-02-26 12:18:00	2022-02-26 12:18:00
2022-02-26	0	0	0	2022-02-26 12:18:00	2022-02-26 12:18:00
2022-02-26	290	0	0	2022-02-26 02:55:51	2022-02-26 07:45:51
2022-02-25	433	0	0	2022-02-25 01:23:03	2022-02-25 08:36:15
2022-02-24	344	0	0	2022-02-24 02:16:41	2022-02-24 08:01:00
2022-02-23	252	0	0	2022-02-23 03:29:46	2022-02-23 07:42:43
2022-02-22	263	0	0	2022-02-22 01:37:33	2022-02-22 06:01:23
2022-02-21	341	0	0	2022-02-21 02:57:22	2022-02-21 08:38:46
2022-02-20	480	0	0	2022-02-20 01:35:02	2022-02-20 09:35:20
2022-02-19	264	0	0	2022-02-19 03:45:27	2022-02-19 08:09:40
2022-02-18	292	0	0	2022-02-18 04:13:48	2022-02-18 09:06:10
2022-02-17	356	0	0	2022-02-17 03:35:59	2022-02-17 09:32:15
2022-02-16	252	0	0	2022-02-16 02:17:50	2022-02-16 06:29:54
2022-02-15	401	0	0	2022-02-15 01:48:23	2022-02-15 08:30:03
2022-02-14	314	0	0	2022-02-14 01:00:00	2022-02-14 06:14:52
2022-02-13	272	0	0	2022-02-13 01:00:00	2022-02-13 05:32:04
2022-02-12	269	0	0	2022-02-12 01:32:31	2022-02-12 06:01:47
2022-02-11	344	0	0	2022-02-11 01:57:00	2022-02-11 07:41:35
2022-02-10	333	0	0	2022-02-10 01:00:00	2022-02-10 06:33:28
2022-02-09	290	0	0	2022-02-09 01:35:37	2022-02-09 06:26:25
2022-02-08	294	0	0	2022-02-08 04:00:00	2022-02-08 08:54:56
2022-02-07	309	0	0	2022-02-07 01:00:00	2022-02-07 06:09:57
2022-03-06	399	0	0	2022-03-06 01:00:00	2022-03-06 07:39:23
2022-03-05	355	0	0	2022-03-05 01:13:41	2022-03-05 07:09:26
2022-03-04	214	0	0	2022-03-04 03:59:56	2022-03-04 07:34:21
2022-03-03	23	0	0	2022-03-03 06:17:54	2022-03-03 06:41:26
2022-03-03	272	0	0	2022-03-03 01:45:04	2022-03-03 06:17:22
2022-03-02	351	0	0	2022-03-02 03:22:29	2022-03-02 09:13:32
2022-03-01	263	0	0	2022-03-01 01:37:13	2022-03-01 06:00:20
2022-02-28	376	0	0	2022-02-28 01:44:11	2022-02-28 08:00:22
2022-02-27	269	0	0	2022-02-27 01:33:11	2022-02-27 06:02:41
2022-02-26	0	0	0	2022-02-26 12:20:00	2022-02-26 12:20:00
2022-02-26	0	0	0	2022-02-26 12:18:00	2022-02-26 12:18:00
2022-02-26	0	0	0	2022-02-26 12:18:00	2022-02-26 12:18:00
2022-02-26	290	0	0	2022-02-26 02:55:51	2022-02-26 07:45:51
2022-02-25	433	0	0	2022-02-25 01:23:03	2022-02-25 08:36:15
2022-02-24	344	0	0	2022-02-24 02:16:41	2022-02-24 08:01:00
2022-02-23	252	0	0	2022-02-23 03:29:46	2022-02-23 07:42:43
2022-02-22	263	0	0	2022-02-22 01:37:33	2022-02-22 06:01:23
2022-02-21	341	0	0	2022-02-21 02:57:22	2022-02-21 08:38:46
2022-02-20	480	0	0	2022-02-20 01:35:02	2022-02-20 09:35:20
2022-02-19	264	0	0	2022-02-19 03:45:27	2022-02-19 08:09:40
2022-02-18	292	0	0	2022-02-18 04:13:48	2022-02-18 09:06:10
2022-02-17	356	0	0	2022-02-17 03:35:59	2022-02-17 09:32:15
2022-02-16	252	0	0	2022-02-16 02:17:50	2022-02-16 06:29:54
2022-02-15	401	0	0	2022-02-15 01:48:23	2022-02-15 08:30:03
2022-02-14	314	0	0	2022-02-14 01:00:00	2022-02-14 06:14:52
2022-02-13	272	0	0	2022-02-13 01:00:00	2022-02-13 05:32:04
2022-02-12	269	0	0	2022-02-12 01:32:31	2022-02-12 06:01:47
2022-02-11	344	0	0	2022-02-11 01:57:00	2022-02-11 07:41:35
2022-02-10	333	0	0	2022-02-10 01:00:00	2022-02-10 06:33:28
2022-02-09	290	0	0	2022-02-09 01:35:37	2022-02-09 06:26:25
2022-02-08	294	0	0	2022-02-08 04:00:00	2022-02-08 08:54:56
2022-02-07	309	0	0	2022-02-07 01:00:00	2022-02-07 06:09:57
2022-03-06	399	0	0	2022-03-06 01:00:00	2022-03-06 07:39:23
2022-03-05	355	0	0	2022-03-05 01:13:41	2022-03-05 07:09:26
2022-03-04	214	0	0	2022-03-04 03:59:56	2022-03-04 07:34:21
2022-03-03	23	0	0	2022-03-03 06:17:54	2022-03-03 06:41:26
2022-03-03	272	0	0	2022-03-03 01:45:04	2022-03-03 06:17:22
2022-03-02	351	0	0	2022-03-02 03:22:29	2022-03-02 09:13:32
2022-03-01	263	0	0	2022-03-01 01:37:13	2022-03-01 06:00:20
2022-02-28	376	0	0	2022-02-28 01:44:11	2022-02-28 08:00:22
2022-02-27	269	0	0	2022-02-27 01:33:11	2022-02-27 06:02:41
2022-02-26	0	0	0	2022-02-26 12:20:00	2022-02-26 12:20:00
2022-02-26	0	0	0	2022-02-26 12:18:00	2022-02-26 12:18:00
2022-02-26	0	0	0	2022-02-26 12:18:00	2022-02-26 12:18:00
2022-02-26	290	0	0	2022-02-26 02:55:51	2022-02-26 07:45:51
2022-02-25	433	0	0	2022-02-25 01:23:03	2022-02-25 08:36:15
2022-02-24	344	0	0	2022-02-24 02:16:41	2022-02-24 08:01:00
2022-02-23	252	0	0	2022-02-23 03:29:46	2022-02-23 07:42:43
2022-02-22	263	0	0	2022-02-22 01:37:33	2022-02-22 06:01:23
2022-02-21	341	0	0	2022-02-21 02:57:22	2022-02-21 08:38:46
2022-02-20	480	0	0	2022-02-20 01:35:02	2022-02-20 09:35:20
2022-02-19	264	0	0	2022-02-19 03:45:27	2022-02-19 08:09:40
2022-02-18	292	0	0	2022-02-18 04:13:48	2022-02-18 09:06:10
2022-02-17	356	0	0	2022-02-17 03:35:59	2022-02-17 09:32:15
2022-02-16	252	0	0	2022-02-16 02:17:50	2022-02-16 06:29:54
2022-02-15	401	0	0	2022-02-15 01:48:23	2022-02-15 08:30:03
2022-02-14	314	0	0	2022-02-14 01:00:00	2022-02-14 06:14:52
2022-02-13	272	0	0	2022-02-13 01:00:00	2022-02-13 05:32:04
2022-02-12	269	0	0	2022-02-12 01:32:31	2022-02-12 06:01:47
2022-02-11	344	0	0	2022-02-11 01:57:00	2022-02-11 07:41:35
2022-02-10	333	0	0	2022-02-10 01:00:00	2022-02-10 06:33:28
2022-02-09	290	0	0	2022-02-09 01:35:37	2022-02-09 06:26:25
2022-02-08	294	0	0	2022-02-08 04:00:00	2022-02-08 08:54:56
2022-02-07	309	0	0	2022-02-07 01:00:00	2022-02-07 06:09:57
