date	deepSleepTime	shallowSleepTime	wakeTime	sourceName	start	stop
2022-04-03	1279	0	0	Zepp Life	2022-04-02 21:40:00	2022-04-03 18:59:59
2022-04-03	0	5	0	Zepp Life	2022-04-03 05:59:00	2022-04-03 06:04:59
2022-04-03	504	0	0	Oura	2022-04-02 21:40:38	2022-04-03 06:04:38
2022-04-03	0	7	0	Zepp Life	2022-04-03 05:51:00	2022-04-03 05:58:59
2022-04-03	0	20	0	Oura	2022-04-03 05:38:08	2022-04-03 05:58:38
2022-04-03	0	13	0	Zepp Life	2022-04-03 05:37:00	2022-04-03 05:50:59
2022-04-03	0	116	0	Oura	2022-04-03 03:41:38	2022-04-03 05:37:38
2022-04-03	0	7	0	Zepp Life	2022-04-03 05:29:00	2022-04-03 05:36:59
2022-04-03	0	2	0	Zepp Life	2022-04-03 05:26:00	2022-04-03 05:28:59
2022-04-03	0	10	0	Zepp Life	2022-04-03 05:15:00	2022-04-03 05:25:59
2022-04-03	0	17	0	Zepp Life	2022-04-03 04:57:00	2022-04-03 05:14:59
2022-04-03	0	16	0	Zepp Life	2022-04-03 04:40:00	2022-04-03 04:56:59
2022-04-03	0	9	0	Zepp Life	2022-04-03 04:30:00	2022-04-03 04:39:59
2022-04-03	0	20	0	Zepp Life	2022-04-03 04:09:00	2022-04-03 04:29:59
2022-04-03	0	28	0	Zepp Life	2022-04-03 03:40:00	2022-04-03 04:08:59
2022-04-03	0	20	0	Oura	2022-04-03 03:20:08	2022-04-03 03:40:38
2022-04-03	0	10	0	Zepp Life	2022-04-03 03:29:00	2022-04-03 03:39:59
2022-04-03	0	24	0	Zepp Life	2022-04-03 03:04:00	2022-04-03 03:28:59
2022-04-03	0	1	0	Oura	2022-04-03 03:17:38	2022-04-03 03:19:08
2022-04-03	0	7	0	Oura	2022-04-03 03:09:38	2022-04-03 03:16:38
2022-04-03	0	1	0	Oura	2022-04-03 03:07:38	2022-04-03 03:08:38
2022-04-03	0	33	0	Oura	2022-04-03 02:33:38	2022-04-03 03:07:08
2022-04-03	0	26	0	Zepp Life	2022-04-03 02:37:00	2022-04-03 03:03:59
2022-04-03	0	18	0	Zepp Life	2022-04-03 02:18:00	2022-04-03 02:36:59
2022-04-03	0	2	0	Oura	2022-04-03 02:30:38	2022-04-03 02:32:38
2022-04-03	0	11	0	Oura	2022-04-03 02:18:08	2022-04-03 02:29:38
2022-04-03	0	0	5	Zepp Life	2022-04-03 02:12:00	2022-04-03 02:17:59
2022-04-03	0	1	0	Oura	2022-04-03 02:16:08	2022-04-03 02:17:08
2022-04-03	0	15	0	Zepp Life	2022-04-03 01:56:00	2022-04-03 02:11:59
2022-04-03	0	16	0	Oura	2022-04-03 01:54:38	2022-04-03 02:11:08
2022-04-03	0	5	0	Zepp Life	2022-04-03 01:50:00	2022-04-03 01:55:59
2022-04-03	0	51	0	Oura	2022-04-03 01:02:08	2022-04-03 01:53:38
2022-04-03	0	3	0	Zepp Life	2022-04-03 01:46:00	2022-04-03 01:49:59
2022-04-03	0	2	0	Zepp Life	2022-04-03 01:43:00	2022-04-03 01:45:59
2022-04-03	0	14	0	Zepp Life	2022-04-03 01:28:00	2022-04-03 01:42:59
2022-04-03	0	43	0	Zepp Life	2022-04-03 00:44:00	2022-04-03 01:27:59
2022-04-03	0	34	0	Oura	2022-04-03 00:24:38	2022-04-03 00:58:38
2022-04-03	0	6	0	Zepp Life	2022-04-03 00:37:00	2022-04-03 00:43:59
2022-04-03	0	23	0	Zepp Life	2022-04-03 00:13:00	2022-04-03 00:36:59
2022-04-03	0	8	0	Oura	2022-04-03 00:13:38	2022-04-03 00:22:08
2022-04-03	0	70	0	Oura	2022-04-02 23:03:08	2022-04-03 00:13:08
2022-04-03	0	15	0	Zepp Life	2022-04-02 23:57:00	2022-04-03 00:12:59
2022-04-02	0	2	0	Zepp Life	2022-04-02 23:54:00	2022-04-02 23:56:59
2022-04-02	0	5	0	Zepp Life	2022-04-02 23:48:00	2022-04-02 23:53:59
2022-04-02	0	43	0	Zepp Life	2022-04-02 23:04:00	2022-04-02 23:47:59
2022-04-02	0	14	0	Zepp Life	2022-04-02 22:49:00	2022-04-02 23:03:59
2022-04-02	0	58	0	Oura	2022-04-02 22:04:08	2022-04-02 23:02:38
2022-04-02	0	5	0	Zepp Life	2022-04-02 22:43:00	2022-04-02 22:48:59
2022-04-02	0	26	0	Zepp Life	2022-04-02 22:16:00	2022-04-02 22:42:59
2022-04-02	0	2	0	Zepp Life	2022-04-02 22:13:00	2022-04-02 22:15:59
2022-04-02	0	10	0	Zepp Life	2022-04-02 22:02:00	2022-04-02 22:12:59
2022-04-02	0	15	0	Oura	2022-04-02 21:47:38	2022-04-02 22:03:08
2022-04-02	0	11	0	Zepp Life	2022-04-02 21:50:00	2022-04-02 22:01:59
2022-04-02	0	1	0	Oura	2022-04-02 21:45:38	2022-04-02 21:46:38
2022-04-02	1286	0	0	Zepp Life	2022-04-01 21:33:00	2022-04-02 18:59:59
2022-04-02	0	34	0	Zepp Life	2022-04-02 05:32:00	2022-04-02 06:06:59
2022-04-02	0	33	0	Zepp Life	2022-04-02 05:32:00	2022-04-02 06:05:59
2022-04-02	509	0	0	Oura	2022-04-01 21:35:37	2022-04-02 06:04:37
2022-04-02	0	4	0	Oura	2022-04-02 05:54:07	2022-04-02 05:58:37
2022-04-02	0	3	0	Oura	2022-04-02 05:49:37	2022-04-02 05:52:37
2022-04-02	0	18	0	Oura	2022-04-02 05:20:07	2022-04-02 05:38:37
2022-04-02	0	5	0	Zepp Life	2022-04-02 05:31:00	2022-04-02 05:36:59
2022-04-02	0	4	0	Zepp Life	2022-04-02 05:26:00	2022-04-02 05:30:59
2022-04-02	0	25	0	Zepp Life	2022-04-02 04:59:00	2022-04-02 05:24:59
2022-04-02	0	7	0	Zepp Life	2022-04-02 04:59:00	2022-04-02 05:06:59
2022-04-02	0	1	0	Oura	2022-04-02 05:04:37	2022-04-02 05:06:07
2022-04-02	0	4	0	Oura	2022-04-02 05:00:07	2022-04-02 05:04:07
2022-04-02	0	1	0	Oura	2022-04-02 04:58:07	2022-04-02 04:59:07
2022-04-02	0	4	0	Zepp Life	2022-04-02 04:54:00	2022-04-02 04:58:59
2022-04-02	0	28	0	Zepp Life	2022-04-02 04:24:00	2022-04-02 04:52:59
2022-04-02	0	12	0	Zepp Life	2022-04-02 04:24:00	2022-04-02 04:36:59
2022-04-02	0	6	0	Zepp Life	2022-04-02 04:17:00	2022-04-02 04:23:59
